Homepage Folder,Source Page,Broken Link,Error,Status Code,Context
Sonatype Developer,https://help.sonatype.com/en/bundle-development.html,https://github.com/sonatype/nexus-public/tree/master/assemblies/,HTTP 404,404,...ion of Nexus Repository. These definitions are found in the assemblies module. The supported distributions are defined in the modu...
Sonatype IQ Server,https://help.sonatype.com/en/download-and-compatibility.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype IQ Server,https://help.sonatype.com/en/iq-2023-release-notes.html,https://plugins.jenkins.io/nexus-jenkins-plugin/,HTTP 404,404,...is actively working to resolve a distribution issue for the nexus-jenkins-plugin . This is a temporary distribution issue and could affect a...
Sonatype IQ Server,https://help.sonatype.com/en/webhooks-concepts--iq-server-and-slack-integration.html,http://slackapi.github.io/node-slack-sdk/,HTTP 404,404,"...Looking at Slack for more information, we found the Slack Developer Kit for Node.js . This kit is great because they have something that makes ..."
Sonatype IQ Server,https://help.sonatype.com/en/iq-for-idea.html,https://download.sonatype.com/iq/idea/nexus-iq-idea-plugin-4.17.1-01.zip.asc,HTTP 404,404,"nexus-iq-idea-plugin-4.17.1-01.zip ( ASC , SHA1 )"
Sonatype Nexus Repository,https://help.sonatype.com/en/resilient-nexus-repository-deployment-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/deploy-nexus-repository-to-google-cloud.html,https://github.com/sonatype/nxrm3-ha-repository/blob/NEXUS-42970_add_gcp_doc/sample-gcp-ha-yamls/gcp-ha-namespaces.yaml,HTTP 404,404,Fill out a Namespaces YAML with the correct information for your deployment.
Sonatype Nexus Repository,https://help.sonatype.com/en/conda-repositories.html,https://conda.anaconda.org/conda-forge,HTTP 404,404,"...ages from remote Anaconda repositories, such as Continuum , Conda-Forge , and Anaconda . Have the Conda client use the Nexus Reposi..."
Sonatype Nexus Repository,https://help.sonatype.com/en/go-repositories.html,https://github.com/foo/emoji-message,HTTP 404,404,module github.com/foo/emoji-message go 1.12
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/core.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x logging configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://www.dropwizard.io/en/release-1.3.x/manual/configuration.html,HTTP 404,404,IQ Server uses Dropwizard 1.3.x requestLog configuration
Sonatype Nexus Repository,https://help.sonatype.com/en/logging-configuration.html,https://logback.qos.ch/xref/ch/qos/logback/access/PatternLayout.html,HTTP 404,404,"As of IQ Server 1.43, the request log line format is configurable using patterns defined by the Logback Access PatternLayout class."
Sonatype Nexus Repository,https://help.sonatype.com/en/docker-image-analysis.html,https://wiki.jenkins.io/display/JENKINS/Nexus+Platform+Plugin,HTTP 404,404,...evaluation. You need a running instance of Jenkins with the Sonatype Platform plugin to run policy evaluations. Specify an agent node that has D...
Sonatype Nexus Repository,https://help.sonatype.com/en/sonatype-nexus-repository-3-78-0-release-notes.html,http://https://github.com/sonatype/docker-nexus3,Connection Failed (persistent),0,"With the addition of ARM architecture being added to the docker image, we are no longer publishing tags to the docker-nexus github repository."
